index,name,x,y,total_roughness,n_notes
0,Struct_0|1|2,-1.647754,4.392808,9.884889,3
1,Struct_0|1|3,-2.285673,4.295671,9.443052,3
2,Struct_0|1|4,-4.258620,-1.750548,8.744868,3
3,Struct_0|1|5,-4.248671,-0.205447,8.031909,3
4,Struct_0|1|6,-3.145024,2.648293,7.898726,3
5,Struct_0|1|7,-2.578045,2.672601,7.130649,3
6,Struct_0|1|8,-3.632537,0.768807,6.902955,3
7,Struct_0|1|9,-3.827958,0.477504,7.387786,3
8,Struct_0|1|10,-3.551602,1.391191,7.216961,3
9,Struct_0|1|11,-3.244318,1.910120,7.383685,3
10,Struct_0|1|12,-2.737959,1.704065,5.562646,3
11,Struct_0|1|13,-2.435395,1.126374,5.413767,3
12,Struct_0|2|3,-2.198965,4.363084,9.478638,3
13,Struct_0|2|4,2.840083,3.443887,9.093975,3
14,Struct_0|2|5,-3.037216,-2.984117,8.221251,3
15,Struct_0|2|6,4.052180,1.953438,8.262920,3
16,Struct_0|2|7,0.803643,3.640091,6.708274,3
17,Struct_0|2|8,3.430342,2.524239,7.926326,3
18,Struct_0|2|9,1.123001,3.455144,6.431990,3
19,Struct_0|2|10,2.442020,3.194919,7.564640,3
20,Struct_0|2|11,1.571908,3.487291,7.077211,3
21,Struct_0|2|12,1.780648,3.048944,5.538373,3
22,Struct_0|2|13,-0.290401,3.697887,7.193992,3
23,Struct_0|2|14,1.102334,2.490320,5.205427,3
24,Struct_0|3|4,-4.214157,-1.867062,8.763617,3
25,Struct_0|3|5,0.142334,4.169072,8.145311,3
26,Struct_0|3|6,-0.755536,-3.922608,8.011564,3
27,Struct_0|3|7,0.318450,-3.873800,6.643995,3
28,Struct_0|3|8,-1.220385,-3.672125,7.051078,3
29,Struct_0|3|9,-1.570369,-3.410779,7.016080,3
30,Struct_0|3|10,-2.029418,-2.720496,6.161265,3
31,Struct_0|3|11,0.093808,-3.792049,6.993376,3
32,Struct_0|3|12,-1.480530,-2.682567,4.786639,3
33,Struct_0|3|13,-2.950378,-1.696071,6.683300,3
34,Struct_0|3|14,-0.093083,-3.360164,6.539134,3
35,Struct_0|3|15,-1.006657,-2.252791,4.547360,3
36,Struct_0|4|5,-4.201041,-0.326016,8.019796,3
37,Struct_0|4|6,4.083312,1.514057,8.079826,3
38,Struct_0|4|7,0.645992,-3.724737,6.521474,3
39,Struct_0|4|8,2.371808,-2.794947,7.127865,3
40,Struct_0|4|9,1.884849,-2.955738,6.258775,3
41,Struct_0|4|10,3.751787,-0.536624,6.875053,3
42,Struct_0|4|11,2.616254,-2.196366,5.715114,3
43,Struct_0|4|12,2.003252,-2.515063,4.842006,3
44,Struct_0|4|13,-2.772115,-0.620611,6.058393,3
45,Struct_0|4|14,2.526198,1.619187,6.112815,3
46,Struct_0|4|15,1.501678,-3.006567,6.002989,3
47,Struct_0|4|16,0.922713,-1.398858,3.826312,3
48,Struct_0|5|6,-3.035901,2.661710,7.869035,3
49,Struct_0|5|7,0.538124,3.299948,6.442560,3
