index,name,x,y,total_roughness,n_notes
0,Struct_0|1,-0.313422,2.993478,3.296339,2
1,Struct_0|2,3.091005,0.192903,3.331401,2
2,Struct_0|3,0.631849,-2.757675,2.925080,2
3,Struct_0|4,-2.568064,-0.280944,2.647960,2
4,Struct_0|5,-0.786449,-1.323061,2.210154,2
5,Struct_0|6,1.141642,0.788316,2.524077,2
6,Struct_0|7,-0.044717,-0.253279,1.424848,2
7,Struct_0|8,-0.825107,1.167263,2.294591,2
8,Struct_0|9,0.477695,0.045143,1.894268,2
9,Struct_0|10,0.608034,-0.920057,2.128437,2
10,Struct_0|11,-1.331797,-0.242542,2.050889,2
11,Struct_0|12,-0.055494,-0.015565,0.259132,2
12,Struct_0|1|2,2.618625,3.933796,9.884889,3
13,Struct_0|1|3,3.556521,3.359431,9.443052,3
14,Struct_0|1|4,-4.220851,2.011326,8.744868,3
15,Struct_0|1|5,-3.245376,2.900363,8.031909,3
16,Struct_0|1|6,0.634585,4.113439,7.898726,3
17,Struct_0|1|7,0.885030,3.701767,7.130649,3
18,Struct_0|1|8,-1.771150,3.457921,6.902955,3
19,Struct_0|1|9,-1.556750,3.715071,7.387786,3
20,Struct_0|1|10,-0.118668,3.833266,7.216961,3
21,Struct_0|1|11,-0.684889,3.852878,7.383685,3
22,Struct_0|1|12,-0.925739,3.319130,5.562646,3
23,Struct_0|1|13,-0.301054,2.788656,5.413767,3
24,Struct_0|2|3,3.659740,3.284537,9.478638,3
25,Struct_0|2|4,4.385785,-0.448989,9.093975,3
26,Struct_0|2|5,3.575915,-2.613501,8.221251,3
27,Struct_0|2|6,4.295537,-1.072633,8.262920,3
28,Struct_0|2|7,3.628054,-0.784798,6.708274,3
29,Struct_0|2|8,3.855889,1.503496,7.926326,3
30,Struct_0|2|9,3.632302,0.107358,6.431990,3
31,Struct_0|2|10,3.863127,0.983055,7.564640,3
32,Struct_0|2|11,3.744826,0.451792,7.077211,3
33,Struct_0|2|12,3.475618,-0.244152,5.538373,3
34,Struct_0|2|13,2.808231,2.422117,7.193992,3
35,Struct_0|2|14,2.701458,0.159070,5.205427,3
36,Struct_0|3|4,-4.296375,1.857458,8.763617,3
37,Struct_0|3|5,3.353915,-2.796451,8.145311,3
38,Struct_0|3|6,1.110302,-3.860459,8.011564,3
39,Struct_0|3|7,-1.632729,-3.547665,6.643995,3
40,Struct_0|3|8,-2.427088,-3.120924,7.051078,3
41,Struct_0|3|9,1.491271,-3.519507,7.016080,3
42,Struct_0|3|10,0.346544,-3.596630,6.161265,3
43,Struct_0|3|11,-3.085446,-2.365632,6.993376,3
44,Struct_0|3|12,1.011044,-2.946746,4.786639,3
45,Struct_0|3|13,0.651128,-3.445710,6.683300,3
46,Struct_0|3|14,2.190871,-2.674101,6.539134,3
47,Struct_0|3|15,0.560229,-2.403945,4.547360,3
48,Struct_0|4|5,-3.313623,2.782375,8.019796,3
49,Struct_0|4|6,4.026938,-1.369223,8.079826,3
50,Struct_0|4|7,-1.805814,-3.326002,6.521474,3
51,Struct_0|4|8,-3.480196,0.453934,7.127865,3
52,Struct_0|4|9,-3.429852,-0.934312,6.258775,3
53,Struct_0|4|10,-1.028695,-3.519887,6.875053,3
54,Struct_0|4|11,-3.238549,-0.638607,5.715114,3
55,Struct_0|4|12,-3.071592,0.442376,4.842006,3
56,Struct_0|4|13,-2.746570,1.712557,6.058393,3
57,Struct_0|4|14,-0.185443,-3.125463,6.112815,3
58,Struct_0|4|15,-3.009598,-1.490783,6.002989,3
59,Struct_0|4|16,-2.047526,-0.317900,3.826312,3
60,Struct_0|5|6,0.676528,4.037584,7.869035,3
61,Struct_0|5|7,3.230536,-1.025516,6.442560,3
62,Struct_0|5|8,-2.473222,-2.800579,6.843196,3
63,Struct_0|5|9,-3.219529,-1.084319,6.185628,3
64,Struct_0|5|10,-0.801355,-2.396172,5.946093,3
65,Struct_0|5|11,-2.288024,-2.070972,6.267111,3
66,Struct_0|5|12,-0.872100,-1.466502,3.401059,3
67,Struct_0|5|13,-1.663324,2.278709,5.963157,3
68,Struct_0|5|14,2.136195,-0.712447,5.326420,3
69,Struct_0|5|15,-0.416230,-2.605277,5.371688,3
70,Struct_0|5|16,-2.389988,-1.158437,5.111951,3
71,Struct_0|5|17,-0.742675,-1.267859,3.746377,3
72,Struct_0|6|7,0.926126,3.588213,7.058270,3
73,Struct_0|6|8,3.361609,1.628449,7.527894,3
74,Struct_0|6|9,1.570633,-3.115686,6.650094,3
75,Struct_0|6|10,-0.785199,-3.381545,6.634269,3
76,Struct_0|6|11,-2.076034,-2.137630,6.079262,3
77,Struct_0|6|12,1.224348,0.902463,4.702094,3
78,Struct_0|6|13,0.788446,2.393798,5.273983,3
79,Struct_0|6|14,2.223820,1.406053,5.993016,3
80,Struct_0|6|15,1.383899,-2.257700,5.337836,3
81,Struct_0|6|16,-0.314590,-2.395523,5.188915,3
82,Struct_0|6|17,-1.869735,-2.064463,5.772531,3
83,Struct_0|6|18,1.029788,0.659291,4.050936,3
84,Struct_0|7|8,-1.732586,3.299365,6.804218,3
85,Struct_0|7|9,2.971067,-0.090722,5.931789,3
86,Struct_0|7|10,0.350788,-2.988232,5.681848,3
87,Struct_0|7|11,-2.721950,-0.636262,5.362705,3
88,Struct_0|7|12,-0.401516,-0.912446,3.090904,3
89,Struct_0|7|13,0.509912,2.198263,5.157631,3
90,Struct_0|7|14,1.598772,0.027241,3.892709,3
91,Struct_0|7|15,-1.131387,0.627805,4.601328,3
