index,name,x,y,total_roughness,n_notes
0,Diada-m2-0,5.496008,-15.547204,13.286725,2
1,Diada-M2-0,12.446333,-11.118917,13.520008,2
2,Diada-m3-0,-9.132072,-1.531057,13.486620,2
3,Diada-M3-0,5.949939,7.014927,13.410841,2
4,Diada-P4-0,12.362966,-1.652720,13.325424,2
5,Diada-TT-0,-4.842327,-12.740192,13.235979,2
6,Diada-P5-0,11.149978,-5.837186,12.876864,2
7,Diada-m6-0,-1.345878,3.575740,12.784310,2
8,Diada-M6-0,4.603158,-4.347756,12.501567,2
9,Diada-m7-0,1.283645,-13.737838,12.234874,2
10,Diada-M7-0,6.986940,-10.637616,11.743872,2
11,Diada-P8-0,0.166358,-7.349004,11.026751,2
12,Diada-m2-1,5.487848,-15.512138,13.248273,2
13,Diada-M2-1,12.414145,-11.095308,13.476710,2
14,Diada-m3-1,-9.069634,-1.540299,13.422473,2
15,Diada-M3-1,5.902923,6.943899,13.322928,2
16,Diada-P4-1,12.210107,-1.618100,13.213556,2
17,Diada-TT-1,-4.795505,-12.592929,13.101794,2
18,Diada-P5-1,10.864214,-5.787382,12.707852,2
19,Diada-m6-1,-1.271482,3.429067,12.598809,2
20,Diada-M6-1,4.454753,-4.260180,12.292723,2
21,Diada-m7-1,1.325674,-13.414399,12.008158,2
22,Diada-M7-1,6.770976,-10.373146,11.491731,2
23,Diada-P8-1,0.196990,-7.077605,10.741105,2
24,Diada-m2-2,5.473566,-15.450313,13.180606,2
25,Diada-M2-2,12.360786,-11.056319,13.405099,2
26,Diada-m3-2,-8.980584,-1.553625,13.330473,2
27,Diada-M3-2,5.842971,6.851171,13.207846,2
28,Diada-P4-2,12.019614,-1.576012,13.075560,2
29,Diada-TT-2,-4.739781,-12.418333,12.943058,2
30,Diada-P5-2,10.544049,-5.724370,12.515603,2
31,Diada-m6-2,-1.190137,3.268829,12.392644,2
32,Diada-M6-2,4.303968,-4.177601,12.065625,2
33,Diada-m7-2,1.371952,-13.073051,11.766016,2
34,Diada-M7-2,6.550859,-10.109863,11.226666,2
35,Diada-P8-2,0.228285,-6.819809,10.444486,2
36,Diada-m2-3,5.453278,-15.361918,13.084112,2
37,Diada-M2-3,12.286497,-11.002361,13.305754,2
38,Diada-m3-3,-8.866165,-1.570999,13.211397,2
39,Diada-M3-3,5.771756,6.737659,13.066573,2
40,Diada-P4-3,11.792121,-1.527516,12.912624,2
41,Diada-TT-3,-4.675407,-12.217937,12.761173,2
