index,name,x,y,total_roughness,n_notes
0,I-CMaj-fund,-0.880196,0.922165,3.360126,3
1,I-CMaj-inv1,1.163264,0.783443,3.275613,3
2,I-CMaj-inv2,-0.715491,-0.790299,2.266185,3
3,II-DMin-fund,-0.610107,0.967734,3.138870,3
4,II-DMin-inv1,-0.945153,-0.727660,2.522981,3
5,II-DMin-inv2,1.004473,0.367030,2.536152,3
6,III-EMin-fund,-0.543823,0.811138,2.847051,3
7,III-EMin-inv1,-0.847788,-0.696485,2.311697,3
8,III-EMin-inv2,0.944487,0.312429,2.363885,3
9,IV-FMaj-fund,-0.643584,0.575177,2.614436,3
10,IV-FMaj-inv1,0.984298,0.527549,2.671324,3
11,IV-FMaj-inv2,-0.586416,-0.694930,1.892324,3
12,V-GMaj-fund,-0.574379,0.472276,2.389887,3
13,V-GMaj-inv1,0.928177,0.448827,2.482760,3
14,V-GMaj-inv2,-0.550338,-0.672726,1.785930,3
15,VI-AMin-fund,-0.423197,0.501893,2.286814,3
16,VI-AMin-inv1,-0.669947,-0.641967,1.921858,3
17,VI-AMin-inv2,0.838050,0.204644,2.035417,3
18,VII-BDim-fund,0.952431,-0.808109,2.874772,3
19,VII-BDim-inv1,0.632594,-0.903024,2.300915,3
20,VII-BDim-inv2,0.542644,-0.959105,2.038085,3
