k,tones,rating
2,0_1,1.31666666666667
2,0_2,1.83666666666667
2,0_3,2.69333333333333
2,0_4,3.17333333333333
2,0_5,2.95
2,0_6,1.95333333333333
2,0_7,3.44666666666667
2,0_8,2.47666666666667
2,0_9,2.71333333333333
2,0_10,1.75333333333333
2,0_11,1.75333333333333
2,0_12,3.89333333333333
3,0_1_2,1.06666666666667
3,0_1_3,1.66666666666667
3,0_1_4,1.5
3,0_1_5,2.1
3,0_1_6,1.8
3,0_1_7,1.4
3,0_1_8,1.46666666666667
3,0_1_9,1.26666666666667
3,0_1_10,1.16666666666667
3,0_1_11,1.2
3,0_1_12,1.46666666666667
3,0_2_3,1.6
3,0_2_4,2.6
3,0_2_5,2.7
3,0_2_6,2.36666666666667
3,0_2_7,2.93333333333333
3,0_2_8,1.76666666666667
3,0_2_9,1.9
3,0_2_10,1.8
3,0_2_11,2.03333333333333
3,0_2_12,2.2
3,0_3_4,1.2
3,0_3_5,2.4
3,0_3_6,2.36666666666667
3,0_3_7,3.4
3,0_3_8,3.63333333333333
3,0_3_9,2.23333333333333
3,0_3_10,2.53333333333333
3,0_3_11,1.53333333333333
3,0_3_12,2.8
3,0_4_5,2.13333333333333
3,0_4_6,1.9
3,0_4_7,3.8
3,0_4_8,1.93333333333333
3,0_4_9,3.03333333333333
3,0_4_10,2.43333333333333
3,0_4_11,2.6
3,0_4_12,3.53333333333333
3,0_5_6,1.36666666666667
3,0_5_7,3.13333333333333
3,0_5_8,2.8
3,0_5_9,3.63333333333333
3,0_5_10,2.36666666666667
3,0_5_11,2.3
3,0_5_12,3.66666666666667
3,0_6_7,1.66666666666667
3,0_6_8,2.63333333333333
3,0_6_9,2.23333333333333
3,0_6_10,1.93333333333333
3,0_6_11,1.9
3,0_6_12,2.36666666666667
3,0_7_8,1.83333333333333
3,0_7_9,2.5
3,0_7_10,2.16666666666667
3,0_7_11,2.26666666666667
3,0_7_12,3.83333333333333
3,0_8_9,1.2
3,0_8_10,1.96666666666667
3,0_8_11,1.63333333333333
3,0_8_12,3.2
3,0_9_10,1.23333333333333
3,0_9_11,1.53333333333333
3,0_9_12,3.03333333333333
3,0_10_11,1.2
3,0_10_12,1.8
3,0_11_12,1.2
4,0_1_2_3,1.4
4,0_1_2_4,1.5
4,0_1_2_5,1.7
4,0_1_2_6,1.6
4,0_1_2_7,1.46666666666667
4,0_1_2_8,1.46666666666667
4,0_1_2_9,1.43333333333333
4,0_1_2_10,1.23333333333333
4,0_1_2_11,1.03333333333333
4,0_1_2_12,1.1
4,0_1_3_4,1.4
4,0_1_3_5,1.83333333333333
4,0_1_3_6,1.56666666666667
4,0_1_3_7,1.86666666666667
4,0_1_3_8,2.0
4,0_1_3_9,1.56666666666667
4,0_1_3_10,1.33333333333333
4,0_1_3_11,1.36666666666667
4,0_1_3_12,1.6
4,0_1_4_5,1.8
4,0_1_4_6,1.53333333333333
4,0_1_4_7,1.73333333333333
4,0_1_4_8,1.73333333333333
4,0_1_4_9,1.7
4,0_1_4_10,1.63333333333333
4,0_1_4_11,1.53333333333333
4,0_1_4_12,1.83333333333333
4,0_1_5_6,1.36666666666667
4,0_1_5_7,2.0
4,0_1_5_8,2.13333333333333
4,0_1_5_9,1.7
4,0_1_5_10,2.03333333333333
4,0_1_5_11,1.76666666666667
4,0_1_5_12,2.3
4,0_1_6_7,1.4
4,0_1_6_8,1.7
4,0_1_6_9,1.43333333333333
4,0_1_6_10,1.86666666666667
4,0_1_6_11,1.73333333333333
4,0_1_6_12,1.7
4,0_1_7_8,1.5
4,0_1_7_9,1.33333333333333
4,0_1_7_10,1.9
4,0_1_7_11,1.63333333333333
4,0_1_7_12,1.76666666666667
4,0_1_8_9,1.4
4,0_1_8_10,1.96666666666667
4,0_1_8_11,1.6
4,0_1_8_12,2.36666666666667
4,0_1_9_10,1.23333333333333
4,0_1_9_11,1.2
4,0_1_9_12,1.7
4,0_1_10_11,1.33333333333333
4,0_1_10_12,1.8
4,0_1_11_12,1.4
4,0_2_3_4,1.66666666666667
4,0_2_3_5,2.0
4,0_2_3_6,1.7
4,0_2_3_7,2.66666666666667
4,0_2_3_8,2.1
4,0_2_3_9,1.8
4,0_2_3_10,1.73333333333333
4,0_2_3_11,1.7
4,0_2_3_12,1.7
4,0_2_4_5,2.36666666666667
4,0_2_4_6,2.26666666666667
4,0_2_4_7,3.53333333333333
4,0_2_4_8,2.1
4,0_2_4_9,2.33333333333333
4,0_2_4_10,1.86666666666667
4,0_2_4_11,2.2
4,0_2_4_12,2.53333333333333
4,0_2_5_6,1.63333333333333
4,0_2_5_7,2.63333333333333
4,0_2_5_8,2.23333333333333
4,0_2_5_9,2.76666666666667
4,0_2_5_10,2.43333333333333
4,0_2_5_11,2.33333333333333
4,0_2_5_12,2.53333333333333
4,0_2_6_7,2.33333333333333
4,0_2_6_8,1.83333333333333
4,0_2_6_9,2.83333333333333
4,0_2_6_10,1.9
4,0_2_6_11,2.46666666666667
4,0_2_6_12,2.76666666666667
4,0_2_7_8,1.83333333333333
