index,name,x,y,total_roughness,n_notes
0,I-CMaj-fund,-0.696702,1.043768,3.360126,3
1,I-CMaj-inv1,1.268192,-0.540163,3.275613,3
2,I-CMaj-inv2,-0.869029,-0.682539,2.266185,3
3,II-DMin-fund,-0.413278,1.039259,3.138870,3
4,II-DMin-inv1,-1.085760,-0.563776,2.522981,3
5,II-DMin-inv2,0.838823,-0.695291,2.536152,3
6,III-EMin-fund,-0.374390,0.873724,2.847051,3
7,III-EMin-inv1,-0.987368,-0.549732,2.311697,3
8,III-EMin-inv2,0.767291,-0.679564,2.363885,3
9,IV-FMaj-fund,-0.523464,0.663550,2.614436,3
10,IV-FMaj-inv1,0.957384,-0.543646,2.671324,3
11,IV-FMaj-inv2,-0.738170,-0.602399,1.892324,3
12,V-GMaj-fund,-0.473082,0.552466,2.389887,3
13,V-GMaj-inv1,0.865686,-0.547490,2.482760,3
14,V-GMaj-inv2,-0.701640,-0.584187,1.785930,3
15,VI-AMin-fund,-0.310255,0.555419,2.286814,3
16,VI-AMin-inv1,-0.811998,-0.524107,1.921858,3
17,VI-AMin-inv2,0.632987,-0.656415,2.035417,3
18,VII-BDim-fund,1.118132,1.220051,2.874772,3
19,VII-BDim-inv1,0.788310,0.656220,2.300915,3
20,VII-BDim-inv2,0.748330,0.564852,2.038085,3
