index,name,x,y,total_roughness,n_notes
0,I-CMaj-fund,0.368614,1.522454,3.360126,3
1,I-CMaj-inv1,-1.517316,0.420040,3.275613,3
2,I-CMaj-inv2,0.937434,0.027451,2.266185,3
3,II-DMin-fund,0.112083,1.451024,3.138870,3
4,II-DMin-inv1,1.113109,0.169824,2.522981,3
5,II-DMin-inv2,-1.169768,0.055004,2.536152,3
6,III-EMin-fund,0.116061,1.279872,2.847051,3
7,III-EMin-inv1,1.005059,0.139014,2.311697,3
8,III-EMin-inv2,-1.088185,0.018871,2.363885,3
9,IV-FMaj-fund,0.297614,1.102554,2.614436,3
10,IV-FMaj-inv1,-1.234874,0.220811,2.671324,3
11,IV-FMaj-inv2,0.764750,0.007326,1.892324,3
12,V-GMaj-fund,0.278794,0.976242,2.389887,3
13,V-GMaj-inv1,-1.145071,0.162540,2.482760,3
14,V-GMaj-inv2,0.721321,0.000045,1.785930,3
15,VI-AMin-fund,0.133897,0.943549,2.286814,3
16,VI-AMin-inv1,0.811876,0.076658,1.921858,3
17,VI-AMin-inv2,-0.939187,-0.057330,2.035417,3
18,VII-BDim-fund,-0.723320,0.758016,2.874772,3
19,VII-BDim-inv1,-0.347971,0.176325,2.300915,3
20,VII-BDim-inv2,-0.286692,-0.100016,2.038085,3
21,Dyad-m2,2.568869,-1.662431,2.961584,2
22,Dyad-M2,0.185560,-2.284020,2.154610,2
23,Dyad-m3,-0.804850,1.149900,1.665874,2
24,Dyad-M3,1.118521,0.668680,1.482317,2
25,Dyad-P4,-0.018908,-0.792136,1.004957,2
26,Dyad-Tri,-0.377051,-1.327609,1.500304,2
27,Dyad-P5,0.131769,-0.533944,0.516946,2
28,Dyad-m6,-1.256854,-0.668956,1.433053,2
29,Dyad-M6,0.613047,-0.643810,0.970469,2
30,Dyad-m7,0.507920,-1.199094,1.218864,2
31,Dyad-M7,-0.913855,-1.580064,1.657671,2
32,Dyad-P8,0.037606,-0.476788,0.039473,2
