index,name,x,y,total_roughness,n_notes
0,Rnd_1,3.466879,-16.064779,489.870207,10
1,Rnd_2,9.793592,-12.069523,404.020596,9
2,Rnd_3,-17.207129,-7.876321,225.585056,7
3,Rnd_4,4.219403,-17.711270,668.108047,12
4,Rnd_5,7.860242,-0.150034,285.767829,8
5,Rnd_6,-17.294903,-2.016099,213.861855,7
6,Rnd_7,15.885685,1.917905,230.051835,7
7,Rnd_8,7.775248,-22.087923,645.592367,11
8,Rnd_9,-4.157628,-21.057357,515.543224,10
9,Rnd_10,5.349716,-13.791708,474.609535,10
10,Rnd_11,8.489343,-14.704877,649.843441,12
11,Rnd_12,-21.073838,6.233788,103.870448,5
12,Rnd_13,11.665329,8.874976,152.008586,6
13,Rnd_14,4.993155,-17.102256,669.020976,12
14,Rnd_15,-25.406609,7.055758,76.062674,4
15,Rnd_16,18.600614,1.967854,281.176036,8
16,Rnd_17,-12.428580,32.937244,33.000260,3
17,Rnd_18,13.633482,-5.384830,309.118811,8
18,Rnd_19,0.934750,-3.921365,260.718069,8
19,Rnd_20,15.601167,-12.718228,420.982699,9
20,Rnd_21,-1.496055,-13.033599,387.465354,9
21,Rnd_22,3.962916,-16.475268,568.063967,11
22,Rnd_23,2.228346,-19.856683,596.032124,11
23,Rnd_24,-22.412393,17.064366,66.404593,4
24,Rnd_25,-26.252154,14.882874,70.046988,4
25,Rnd_26,13.722604,22.606811,106.296885,5
26,Rnd_27,4.295033,-16.845172,494.531083,10
27,Rnd_28,14.325376,-9.582608,471.270390,10
28,Rnd_29,2.818189,-16.639668,573.545999,11
29,Rnd_30,3.202740,-14.196502,550.783964,11
30,Rnd_31,-21.718624,-0.414429,120.898126,5
31,Rnd_32,4.316194,-2.929617,275.676830,8
32,Rnd_33,-23.295809,10.049924,79.608489,4
33,Rnd_34,4.871608,-8.774428,368.064779,9
34,Rnd_35,3.884043,-14.254196,554.101137,11
35,Rnd_36,-4.875942,6.063883,145.446412,6
36,Rnd_37,-8.801432,5.318946,152.378430,6
37,Rnd_38,3.634405,-14.446578,635.773162,12
38,Rnd_39,3.089841,-13.597975,543.020781,11
39,Rnd_40,-11.999958,32.699211,28.684975,3
40,Rnd_41,7.911074,-8.492283,372.474233,9
41,Rnd_42,-7.598559,-13.077944,379.205225,9
42,Rnd_43,-5.786567,-1.523011,264.922273,8
43,Rnd_44,6.710116,32.516526,38.023186,3
44,Rnd_45,9.772458,-11.462680,477.681102,10
45,Rnd_46,-26.393493,7.841154,74.332643,4
46,Rnd_47,15.231362,20.753207,143.296679,6
47,Rnd_48,10.475347,27.109616,64.912115,4
48,Rnd_49,-3.850268,7.899574,136.753097,6
49,Rnd_50,1.765093,-0.518420,265.838212,8
50,Rnd_51,5.725219,-16.618414,584.701052,11
51,Rnd_52,-3.139224,-6.355280,293.009551,8
52,Rnd_53,5.487446,30.510578,40.120038,3
53,Rnd_54,-12.640229,35.193389,11.026751,2
54,Rnd_55,-11.905880,6.584220,105.816871,5
55,Rnd_56,6.404692,-19.631075,706.270596,12
56,Rnd_57,-21.314917,10.294244,73.153646,4
57,Rnd_58,14.249776,11.129903,203.634193,7
58,Rnd_59,8.599670,-15.312886,424.310174,9
59,Rnd_60,5.079499,-13.655831,627.355047,12
60,Rnd_61,-2.807063,30.390730,58.250769,4
61,Rnd_62,5.263830,-12.057313,460.486138,10
62,Rnd_63,3.087565,-5.565628,338.652903,9
63,Rnd_64,3.440611,-17.622895,661.775279,12
64,Rnd_65,2.091645,-7.144813,352.173383,9
65,Rnd_66,-7.440464,-13.991563,316.054255,8
66,Rnd_67,7.789454,-21.955013,738.893254,12
67,Rnd_68,-2.970939,33.746196,26.661363,3
68,Rnd_69,6.003125,-22.214945,731.806331,12
69,Rnd_70,12.096168,6.399905,162.460579,6
70,Rnd_71,-19.857888,19.059424,63.750948,4
71,Rnd_72,3.412172,-13.865592,542.452245,11
72,Rnd_73,3.889754,-13.304553,540.811959,11
73,Rnd_74,18.923739,15.657579,118.935402,5
74,Rnd_75,-6.532095,-0.423325,206.422891,7
75,Rnd_76,4.861108,-0.165806,217.498525,7
76,Rnd_77,-15.857030,32.050267,13.520008,2
77,Rnd_78,-17.370937,31.997205,13.235979,2
78,Rnd_79,15.011107,-10.947506,403.119781,9
79,Rnd_80,-5.158002,-2.018783,166.046903,6
80,Rnd_81,-5.104350,-19.043002,420.616378,9
81,Rnd_82,-3.893313,31.295251,35.738048,3
82,Rnd_83,2.403586,-14.542586,628.010508,12
83,Rnd_84,-11.849610,30.558985,25.912049,3
84,Rnd_85,1.961249,-4.874520,275.846274,8
85,Rnd_86,2.227210,-3.935972,324.472168,9
86,Rnd_87,-7.626958,21.474677,91.637363,5
87,Rnd_88,5.002827,31.231755,62.695669,4
88,Rnd_89,16.945298,7.589780,215.261931,7
89,Rnd_90,2.429800,-4.977426,338.811657,9
90,Rnd_91,4.775436,-13.372055,473.642554,10
91,Rnd_92,17.179522,15.011189,110.438128,5
92,Rnd_93,4.553974,-16.078050,565.772250,11
93,Rnd_94,2.724083,-5.789044,280.444257,8
94,Rnd_95,-9.727151,22.224641,53.165049,4
95,Rnd_96,-0.967481,-10.651576,305.342055,8
96,Rnd_97,-9.727708,28.813532,30.641510,3
97,Rnd_98,7.851349,13.402273,144.998021,6
98,Rnd_99,-7.132682,31.453796,28.754397,3
99,Rnd_100,5.391407,-18.855273,594.903533,11
100,Rnd_101,8.209063,-17.416757,513.304127,10
101,Rnd_102,-12.729784,19.648080,55.608002,4
102,Rnd_103,-15.496197,-9.857917,181.394242,6
103,Rnd_104,-19.369188,24.121446,60.845974,4
104,Rnd_105,-22.071319,-3.753335,124.747579,5
105,Rnd_106,2.776694,-4.064812,330.822205,9
106,Rnd_107,8.761974,-13.610156,405.332774,9
107,Rnd_108,-5.487310,-1.270544,206.393535,7
108,Rnd_109,4.492050,-15.234881,484.341332,10
109,Rnd_110,5.841189,-18.594209,600.941100,11
110,Rnd_111,8.310842,-20.994920,638.622732,11
111,Rnd_112,-6.822744,15.173585,114.630775,5
112,Rnd_113,-3.245966,-3.792044,272.683578,8
113,Rnd_114,16.295492,18.348262,106.336537,5
114,Rnd_115,7.957007,-20.757927,720.975445,12
115,Rnd_116,-12.470953,26.403096,55.433955,4
116,Rnd_117,7.828880,0.906565,278.279394,8
117,Rnd_118,-20.347674,9.654026,106.398729,5
118,Rnd_119,-7.645463,35.308297,13.410841,2
119,Rnd_120,16.544907,-10.150683,484.296047,10
120,Rnd_121,9.986740,23.904684,65.766582,4
121,Rnd_122,-4.159953,17.465454,86.748144,5
122,Rnd_123,-2.307249,-3.683927,280.692491,8
123,Rnd_124,2.948253,-12.109226,388.167184,9
124,Rnd_125,-22.276608,20.270236,87.564120,5
125,Rnd_126,-1.035919,8.250234,130.510580,6
126,Rnd_127,15.718348,11.905870,151.630232,6
127,Rnd_128,0.596346,-7.694563,291.811055,8
128,Rnd_129,2.921098,-15.357350,557.976923,11
129,Rnd_130,-7.687722,7.117409,146.533589,6
130,Rnd_131,6.022041,-14.635948,482.864223,10
131,Rnd_132,-5.019372,-7.996969,229.905927,7
132,Rnd_133,7.688201,-16.941207,675.335158,12
133,Rnd_134,9.509274,-19.851304,709.399304,12
134,Rnd_135,-4.750953,32.419649,27.237627,3
135,Rnd_136,7.791890,-16.152452,586.431449,11
136,Rnd_137,9.452633,2.554247,207.524118,7
137,Rnd_138,-5.427599,35.517255,13.486620,2
