index,name,x,y,total_roughness,n_notes
0,Diada-m2,3.292368,-1.825043,3.296339,2
1,Diada-M2,1.477741,-3.496318,3.331401,2
2,Diada-m3,-2.012370,-0.364449,2.925080,2
3,Diada-M3,1.196123,1.521857,2.647960,2
4,Diada-P4,1.952258,-0.342688,2.210154,2
5,Diada-TT,-0.575061,-2.416644,2.524077,2
6,Diada-P5,0.135896,-0.719800,1.424848,2
7,Diada-m6,-0.042709,0.611973,2.294591,2
8,Diada-M6,1.136546,-0.848179,1.894268,2
9,Diada-m7,0.672256,-2.045971,2.128437,2
10,Diada-M7,1.527335,-1.637758,2.050889,2
11,Diada-P8,0.520062,-0.680077,0.259132,2
12,Maj-fund,-1.381623,2.424621,6.521474,3
13,Maj-inv1,-3.115745,0.984454,7.051078,3
14,Maj-inv2,2.790795,1.130858,6.185628,3
15,Min-fund,-1.780207,2.292447,6.643995,3
16,Min-inv1,2.660608,1.544839,6.258775,3
17,Min-inv2,-2.805271,1.057119,6.843196,3
18,Dim-fund,-3.252025,-1.436601,8.011564,3
19,Dim-inv1,-2.706015,-2.109052,7.016080,3
20,Dim-inv2,-2.272163,-2.322465,6.650094,3
21,Aug-fund,0.860400,2.892292,7.127865,3
22,Aug-inv1,0.860400,2.892292,7.127865,3
23,Aug-inv2,0.860400,2.892292,7.127865,3
