index,name,x,y,total_roughness,n_notes
0,Tri-Maj-fund,-1.635771,-0.358712,6.521474,3
1,Tri-Maj-inv1,2.835662,-1.161432,7.051078,3
2,Tri-Maj-inv2,1.888663,2.045284,6.185628,3
3,Tri-Min-fund,-1.641382,-0.838403,6.643995,3
4,Tri-Min-inv1,1.301765,2.188146,6.258775,3
5,Tri-Min-inv2,3.022867,-0.711065,6.843196,3
6,Tri-Dim-fund,-1.096708,-4.863883,8.011564,3
7,Tri-Dim-inv1,0.462862,-3.198206,7.016080,3
8,Tri-Dim-inv2,0.819278,-3.038189,6.650094,3
9,Tri-Aug-fund,-1.985745,3.312153,7.127865,3
10,Tri-Aug-inv1,-1.985745,3.312153,7.127865,3
11,Tri-Aug-inv2,-1.985745,3.312153,7.127865,3
