index,name,x,y,total_roughness,n_notes
0,Diada_m2-fund,2.230991,-4.121985,3.296339,2
1,Diada_M2-fund,-0.194437,-1.128942,3.331401,2
2,Diada_m3-fund,2.675082,0.391026,2.925080,2
3,Diada_M3-fund,1.654002,-2.344756,2.647960,2
4,Diada_P4-fund,2.464948,-2.049245,2.210154,2
5,Diada_TT-fund,3.979600,0.015187,2.524077,2
6,Diada_P5-fund,2.883795,-1.244756,1.424848,2
7,Diada_m6-fund,2.497481,-2.827088,2.294591,2
8,Diada_M6-fund,3.445884,-0.914125,1.894268,2
9,Diada_m7-fund,3.651505,-1.647687,2.128437,2
10,Diada_M7-fund,3.850761,-1.295157,2.050889,2
11,Diada_P8-fund,3.035718,-1.428987,0.259132,2
12,Maj-fund,0.939826,0.232230,6.521474,3
13,Maj-inv1,1.391880,-0.811779,7.051078,3
14,Maj-inv2,0.957703,-2.495637,6.185628,3
15,Min-fund,1.029090,0.535233,6.643995,3
16,Min-inv1,0.781757,-2.600584,6.258775,3
17,Min-inv2,1.181920,-1.251242,6.843196,3
18,Dim-fund,3.204486,1.876311,8.011564,3
19,Dim-inv1,3.025432,2.072418,7.016080,3
20,Dim-inv2,3.273047,1.675816,6.650094,3
21,Aug-fund,0.848667,-3.544669,7.127865,3
22,Aug-inv1,0.848667,-3.544669,7.127865,3
23,Aug-inv2,0.848667,-3.544669,7.127865,3
24,sus2-fund,-1.661690,-0.835242,6.708274,3
25,sus2-inv1,3.224361,-2.403006,5.946093,3
26,sus2-inv2,-1.267200,-0.994685,6.442560,3
27,sus4-fund,-1.267200,-0.994685,6.442560,3
28,sus4-inv1,-1.661690,-0.835242,6.708274,3
29,sus4-inv2,3.224361,-2.403006,5.946093,3
30,Maj7-fund,1.320556,0.511938,11.475596,4
31,Maj7-inv1,-2.793725,-2.822464,13.854772,4
32,Maj7-inv2,-0.915503,-4.468627,13.711816,4
33,Maj7-inv3,-2.844736,-3.091274,13.976975,4
34,Min7-fund,1.330699,1.373781,12.008742,4
35,Min7-inv1,-1.877178,1.210351,12.744962,4
36,Min7-inv2,-2.767435,0.313354,14.609760,4
37,Min7-inv3,-2.409334,1.488181,13.403046,4
38,Dom7-fund,1.498961,2.662611,12.877130,4
39,Dom7-inv1,-0.088280,4.073206,14.846789,4
40,Dom7-inv2,-1.687530,2.805411,14.317517,4
41,Dom7-inv3,-0.945356,3.333172,13.595258,4
42,m7b5-fund,1.770411,3.101290,13.229504,4
43,m7b5-inv1,-0.482163,2.998965,13.347668,4
44,m7b5-inv2,-1.450870,2.818356,13.922390,4
45,m7b5-inv3,-0.806707,4.200100,15.154627,4
46,dim7-fund,3.196751,2.704719,14.334313,4
47,dim7-inv1,3.196751,2.704719,14.334313,4
48,dim7-inv2,3.196751,2.704719,14.334313,4
49,dim7-inv3,3.196751,2.704719,14.334313,4
50,mM7-fund,-0.524365,-2.216897,12.599259,4
51,mM7-inv1,-1.351300,-4.479699,13.799326,4
52,mM7-inv2,-2.361512,-3.488418,14.838151,4
53,mM7-inv3,-2.611111,-3.447349,14.536798,4
54,Maj9-fund,-0.230649,1.432021,17.474775,5
55,Maj9-inv1,-4.187652,-1.364354,21.737332,5
56,Maj9-inv2,-4.365812,0.413327,23.005562,5
57,Maj9-inv3,-4.960523,-0.592559,24.965172,5
58,Maj9-inv4,-3.431771,1.910558,21.568556,5
59,Dom9-fund,0.620263,2.927389,18.755529,5
60,Dom9-inv1,-1.957598,3.920558,22.582541,5
61,Dom9-inv2,-2.539236,3.067496,23.456662,5
62,Dom9-inv3,-2.655717,3.408121,23.982168,5
63,Dom9-inv4,-3.367756,3.082186,23.379972,5
64,Min9-fund,0.003566,1.889703,18.036340,5
65,Min9-inv1,-2.783519,1.611718,20.123672,5
66,Min9-inv2,-4.635336,-0.609671,24.221012,5
67,Min9-inv3,-4.716243,0.749002,24.043848,5
68,Min9-inv4,-4.679957,-1.076739,22.619127,5
