index,name,x,y,total_roughness,n_notes
0,Diada_m2-fund,-0.447164,0.641339,3.296339,2
1,Diada_M2-fund,0.581634,0.230844,3.331401,2
2,Diada_m3-fund,-0.107325,-0.528899,2.925080,2
3,Diada_M3-fund,-0.535700,0.158464,2.647960,2
4,Diada_P4-fund,0.307997,0.581416,2.210154,2
5,Diada_TT-fund,0.464117,-0.630431,2.524077,2
6,Diada_P5-fund,0.755564,0.129761,1.424848,2
7,Diada_m6-fund,-0.779735,-0.092279,2.294591,2
8,Diada_M6-fund,0.736034,-0.255298,1.894268,2
9,Diada_m7-fund,0.159440,0.802665,2.128437,2
10,Diada_M7-fund,-0.702039,0.517399,2.050889,2
11,Diada_P8-fund,-0.188961,0.882347,0.259132,2
12,Maj-fund,-0.211239,-0.223190,6.521474,3
13,Maj-inv1,-0.306942,-0.314194,7.051078,3
14,Maj-inv2,-0.071455,0.398767,6.185628,3
15,Min-fund,-0.184417,-0.267245,6.643995,3
16,Min-inv1,-0.157834,0.359867,6.258775,3
17,Min-inv2,-0.371165,-0.199074,6.843196,3
18,Dim-fund,0.080623,-0.534466,8.011564,3
19,Dim-inv1,0.160760,-0.492778,7.016080,3
20,Dim-inv2,0.205931,-0.507346,6.650094,3
21,Aug-fund,-0.563370,0.049656,7.127865,3
22,Aug-inv1,-0.563370,0.049656,7.127865,3
23,Aug-inv2,-0.563370,0.049656,7.127865,3
24,sus2-fund,0.428906,0.277126,6.708274,3
25,sus2-inv1,0.211643,0.630819,5.946093,3
26,sus2-inv2,0.409716,0.295155,6.442560,3
27,sus4-fund,0.409716,0.295155,6.442560,3
28,sus4-inv1,0.428906,0.277126,6.708274,3
29,sus4-inv2,0.212694,0.630580,5.946093,3
30,Maj7-fund,-0.267260,-0.220069,11.475596,4
31,Maj7-inv1,-0.248603,0.039123,13.854772,4
32,Maj7-inv2,-0.230008,0.373834,13.711816,4
33,Maj7-inv3,-0.254342,0.097157,13.976975,4
34,Min7-fund,-0.167131,-0.260346,12.008742,4
35,Min7-inv1,0.099661,0.016477,12.744962,4
36,Min7-inv2,0.242186,0.057795,14.609760,4
37,Min7-inv3,0.155178,0.033735,13.403046,4
38,Dom7-fund,-0.077206,-0.311028,12.877130,4
39,Dom7-inv1,0.234696,-0.189903,14.846789,4
40,Dom7-inv2,0.172256,-0.093080,14.317517,4
41,Dom7-inv3,0.182342,-0.164025,13.595258,4
42,m7b5-fund,-0.031653,-0.360100,13.229504,4
43,m7b5-inv1,0.130709,-0.196980,13.347668,4
44,m7b5-inv2,0.167236,-0.099461,13.922390,4
45,m7b5-inv3,0.270957,-0.102969,15.154627,4
46,dim7-fund,0.157756,-0.497903,14.334313,4
47,dim7-inv1,0.157756,-0.497903,14.334313,4
48,dim7-inv2,0.157756,-0.497903,14.334313,4
49,dim7-inv3,0.157756,-0.497903,14.334313,4
50,mM7-fund,-0.301191,-0.180737,12.599259,4
51,mM7-inv1,-0.331940,0.276176,13.799326,4
52,mM7-inv2,-0.282658,0.101254,14.838151,4
53,mM7-inv3,-0.333822,-0.024250,14.536798,4
54,Maj9-fund,-0.105622,-0.112572,17.474775,5
55,Maj9-inv1,-0.087098,0.078488,21.737332,5
56,Maj9-inv2,0.040061,0.123537,23.005562,5
57,Maj9-inv3,-0.034692,0.098202,24.965172,5
58,Maj9-inv4,0.135962,0.062408,21.568556,5
59,Dom9-fund,0.021760,-0.217928,18.755529,5
60,Dom9-inv1,0.064242,-0.097565,22.582541,5
61,Dom9-inv2,0.159558,-0.058480,23.456662,5
62,Dom9-inv3,0.179652,-0.051701,23.982168,5
63,Dom9-inv4,0.069613,-0.035279,23.379972,5
64,Min9-fund,-0.085221,-0.147050,18.036340,5
65,Min9-inv1,0.103193,0.039955,20.123672,5
66,Min9-inv2,-0.034048,0.091861,24.221012,5
67,Min9-inv3,0.059876,0.116385,24.043848,5
68,Min9-inv4,-0.047262,0.096151,22.619127,5
