index,name,x,y,total_roughness,n_notes
0,Diada_m2-fund,-0.014703,10.187223,3.296339,2
1,Diada_M2-fund,-1.181275,10.771639,3.331401,2
2,Diada_m3-fund,2.709446,9.948890,2.925080,2
3,Diada_M3-fund,0.461497,9.119624,2.647960,2
4,Diada_P4-fund,-0.779893,9.642398,2.210154,2
5,Diada_TT-fund,0.086512,10.291789,2.524077,2
6,Diada_P5-fund,-0.300894,9.718832,1.424848,2
7,Diada_m6-fund,0.272136,9.681499,2.294591,2
8,Diada_M6-fund,0.088646,9.837319,1.894268,2
9,Diada_m7-fund,-0.662034,9.894128,2.128437,2
10,Diada_M7-fund,-0.322169,9.943666,2.050889,2
11,Diada_P8-fund,-0.094823,9.937515,0.259132,2
12,Maj-fund,2.820717,9.242821,6.521474,3
13,Maj-inv1,2.042598,8.315538,7.051078,3
14,Maj-inv2,-0.120192,8.904820,6.185628,3
15,Min-fund,2.965695,9.349304,6.643995,3
16,Min-inv1,0.020505,8.772282,6.258775,3
17,Min-inv2,1.801525,8.149958,6.843196,3
18,Dim-fund,3.424138,10.467886,8.011564,3
19,Dim-inv1,3.077203,10.916883,7.016080,3
20,Dim-inv2,3.038371,10.776497,6.650094,3
21,Aug-fund,0.549939,8.883307,7.127865,3
22,Aug-inv1,0.805435,8.898716,7.127865,3
23,Aug-inv2,0.667767,9.002099,7.127865,3
24,sus2-fund,-1.429874,10.752864,6.708274,3
25,sus2-inv1,-0.968909,9.590561,5.946093,3
26,sus2-inv2,-1.580588,10.474266,6.442560,3
27,sus4-fund,-1.597692,10.894343,6.442560,3
28,sus4-inv1,-1.295480,10.951428,6.708274,3
29,sus4-inv2,-0.973594,9.643623,5.946093,3
30,Maj7-fund,2.947309,8.877295,11.475596,4
31,Maj7-inv1,0.997611,6.851720,13.854772,4
32,Maj7-inv2,0.332651,7.857023,13.711816,4
33,Maj7-inv3,0.781290,7.100884,13.976975,4
34,Min7-fund,3.284531,9.079673,12.008742,4
35,Min7-inv1,2.823422,5.879278,12.744962,4
36,Min7-inv2,2.465197,7.412947,14.609760,4
37,Min7-inv3,3.021933,6.029134,13.403046,4
38,Dom7-fund,3.632074,8.981400,12.877130,4
39,Dom7-inv1,2.702622,7.476105,14.846789,4
40,Dom7-inv2,3.342238,6.161761,14.317517,4
41,Dom7-inv3,3.738432,5.942792,13.595258,4
42,m7b5-fund,3.640357,9.305238,13.229504,4
43,m7b5-inv1,3.422080,6.037070,13.347668,4
44,m7b5-inv2,3.485164,5.673876,13.922390,4
45,m7b5-inv3,2.900549,7.207131,15.154627,4
46,dim7-fund,3.498155,10.721360,14.334313,4
47,dim7-inv1,3.237670,11.081204,14.334313,4
48,dim7-inv2,3.382165,10.867439,14.334313,4
49,dim7-inv3,3.345394,11.039534,14.334313,4
50,mM7-fund,2.538176,8.927550,12.599259,4
51,mM7-inv1,0.466249,7.704088,13.799326,4
52,mM7-inv2,0.759836,7.143875,14.838151,4
53,mM7-inv3,0.658444,7.024662,14.536798,4
54,Maj9-fund,3.238661,8.617885,17.474775,5
55,Maj9-inv1,1.521274,6.327396,21.737332,5
56,Maj9-inv2,2.174534,5.960567,23.005562,5
57,Maj9-inv3,1.717358,6.200113,24.965172,5
58,Maj9-inv4,3.160126,5.666661,21.568556,5
59,Dom9-fund,3.635417,8.562536,18.755529,5
60,Dom9-inv1,3.007429,6.957031,22.582541,5
61,Dom9-inv2,3.662925,6.294312,23.456662,5
62,Dom9-inv3,3.758472,6.144647,23.982168,5
63,Dom9-inv4,3.148444,6.773632,23.379972,5
64,Min9-fund,3.400042,8.679957,18.036340,5
65,Min9-inv1,2.956207,5.891779,20.123672,5
66,Min9-inv2,1.437687,6.160373,24.221012,5
67,Min9-inv3,2.373944,5.781385,24.043848,5
68,Min9-inv4,1.386194,5.992586,22.619127,5
