index,name,x,y,total_roughness,n_notes
0,Diada_m2-fund,2.680080,8.654838,3.296339,2
1,Diada_m2-inv1,3.038301,8.795573,2.050889,2
2,Diada_M2-fund,1.758944,6.404462,3.331401,2
3,Diada_M2-inv1,2.143160,8.945491,2.128437,2
4,Diada_m3-fund,-0.179255,15.081080,2.925080,2
5,Diada_m3-inv1,3.141427,9.418979,1.894268,2
6,Diada_M3-fund,1.977348,12.899021,2.647960,2
7,Diada_M3-inv1,2.679288,9.659504,2.294591,2
8,Diada_P4-fund,1.675854,9.204282,2.210154,2
9,Diada_P4-inv1,3.011584,9.218384,1.424848,2
10,Diada_TT-fund,2.712304,9.112734,2.524077,2
11,Diada_TT-inv1,2.629353,9.227274,2.524077,2
12,Diada_P5-fund,2.875000,9.143305,1.424848,2
13,Diada_P5-inv1,1.642365,9.352388,2.210154,2
14,Diada_m6-fund,2.409290,9.801724,2.294591,2
15,Diada_m6-inv1,2.189043,12.941518,2.647960,2
16,Diada_M6-fund,3.023631,9.541436,1.894268,2
17,Diada_M6-inv1,-0.168945,14.852621,2.925080,2
18,Diada_m7-fund,1.930309,8.802444,2.128437,2
19,Diada_m7-inv1,1.712291,6.378743,3.331401,2
20,Diada_M7-fund,3.139675,8.846130,2.050889,2
21,Diada_M7-inv1,2.633776,8.488186,3.296339,2
22,Diada_P8-fund,2.583567,8.894589,0.259132,2
23,Diada_P8-inv1,2.420190,9.289585,0.396338,2
24,Maj-fund,0.408160,15.714815,6.521474,3
25,Maj-inv1,1.478542,14.889781,7.051078,3
26,Maj-inv2,2.470872,11.954489,6.185628,3
27,Min-fund,0.309225,15.436963,6.643995,3
28,Min-inv1,2.578406,12.149381,6.258775,3
29,Min-inv2,1.732444,14.764997,6.843196,3
30,Dim-fund,-0.857333,14.953802,8.011564,3
31,Dim-inv1,-1.466669,15.264295,7.016080,3
32,Dim-inv2,-1.214133,15.427923,6.650094,3
33,Aug-fund,1.992917,12.880785,7.127865,3
34,Aug-inv1,2.263322,12.688668,7.127865,3
35,Aug-inv2,2.155085,12.801243,7.127865,3
36,sus2-fund,1.501218,6.695948,6.708274,3
37,sus2-inv1,1.568780,9.056003,5.946093,3
38,sus2-inv2,1.572123,6.623264,6.442560,3
39,sus4-fund,1.426596,6.750768,6.442560,3
40,sus4-inv1,1.665771,6.524082,6.708274,3
41,sus4-inv2,1.630694,9.120827,5.946093,3
42,Maj7-fund,0.637542,15.619930,11.475596,4
43,Maj7-inv1,2.809314,14.358403,13.854772,4
44,Maj7-inv2,2.983743,13.249154,13.711816,4
45,Maj7-inv3,3.127764,14.322328,13.976975,4
46,Min7-fund,0.292068,15.907528,12.008742,4
47,Min7-inv1,3.143655,16.416285,12.744962,4
48,Min7-inv2,2.033997,15.333781,14.609760,4
49,Min7-inv3,2.932817,16.270048,13.403046,4
50,Dom7-fund,0.250727,16.047188,12.877130,4
51,Dom7-inv1,1.938570,15.693276,14.846789,4
52,Dom7-inv2,2.715246,16.493105,14.317517,4
53,Dom7-inv3,2.578687,16.870512,13.595258,4
54,m7b5-fund,0.056074,16.257866,13.229504,4
55,m7b5-inv1,2.196574,16.810659,13.347668,4
56,m7b5-inv2,2.398335,16.559317,13.922390,4
57,m7b5-inv3,2.045763,15.665133,15.154627,4
58,dim7-fund,-1.086024,15.221416,14.334313,4
59,dim7-inv1,-1.511872,15.133350,14.334313,4
60,dim7-inv2,-1.150965,15.137037,14.334313,4
61,dim7-inv3,-1.240936,15.029366,14.334313,4
62,mM7-fund,0.742230,15.411684,12.599259,4
63,mM7-inv1,2.846541,13.589957,13.799326,4
64,mM7-inv2,2.973166,14.150998,14.838151,4
65,mM7-inv3,2.854064,14.304233,14.536798,4
66,Maj9-fund,0.653992,16.140234,17.474775,5
67,Maj9-inv1,3.095222,15.007186,21.737332,5
68,Maj9-inv2,3.419706,15.647524,23.005562,5
69,Maj9-inv3,3.252578,15.134920,24.965172,5
70,Maj9-inv4,3.503489,16.325253,21.568556,5
71,Dom9-fund,0.720024,16.435802,18.755529,5
72,Dom9-inv1,2.317345,15.949946,22.582541,5
73,Dom9-inv2,2.954821,16.651379,23.456662,5
74,Dom9-inv3,2.611241,16.766232,23.982168,5
75,Dom9-inv4,2.520002,16.060186,23.379972,5
76,Min9-fund,0.790533,16.069468,18.036340,5
77,Min9-inv1,3.312371,16.468372,20.123672,5
78,Min9-inv2,3.297266,15.186660,24.221012,5
79,Min9-inv3,3.290723,15.845405,24.043848,5
80,Min9-inv4,3.105636,15.015795,22.619127,5
