index,name,x,y,total_roughness,n_notes
0,Diada_m2-fund,-2.447997,15.067945,3.296339,2
1,Diada_M2-fund,0.241288,14.053148,3.331401,2
2,Diada_m3-fund,0.563395,19.314329,2.925080,2
3,Diada_M3-fund,-2.402020,12.445004,2.647960,2
4,Diada_P4-fund,0.475913,15.115455,2.210154,2
5,Diada_TT-fund,-0.086992,18.859625,2.524077,2
6,Diada_P5-fund,0.876477,14.345969,1.424848,2
7,Diada_m6-fund,-2.248709,12.111190,2.294591,2
8,Diada_M6-fund,-2.355701,16.808777,1.894268,2
9,Diada_m7-fund,0.919551,15.762523,2.128437,2
10,Diada_M7-fund,1.463088,16.726124,2.050889,2
11,Diada_P8-fund,0.011849,17.961502,0.259132,2
12,Maj-fund,1.930249,17.244352,6.521474,3
13,Maj-inv1,-0.792496,15.354991,7.051078,3
14,Maj-inv2,-2.176210,16.566807,6.185628,3
15,Min-fund,1.766172,17.360283,6.643995,3
16,Min-inv1,-2.370824,16.403742,6.258775,3
17,Min-inv2,-0.625508,15.185870,6.843196,3
18,Dim-fund,0.268510,19.388317,8.011564,3
19,Dim-inv1,-0.000076,19.291895,7.016080,3
20,Dim-inv2,0.114929,18.917801,6.650094,3
21,Aug-fund,-2.401991,12.269666,7.127865,3
22,Aug-inv1,-2.425715,12.122063,7.127865,3
23,Aug-inv2,-2.120106,12.037169,7.127865,3
24,sus2-fund,0.515884,14.005717,6.708274,3
25,sus2-inv1,0.841536,15.460216,5.946093,3
26,sus2-inv2,0.543573,14.263866,6.442560,3
27,sus4-fund,0.643123,14.203401,6.442560,3
28,sus4-inv1,0.318600,14.116567,6.708274,3
29,sus4-inv2,0.591594,15.213471,5.946093,3
30,Maj7-fund,1.781973,16.937788,11.475596,4
31,Maj7-inv1,-2.100267,14.546172,13.854772,4
32,Maj7-inv2,-2.478883,15.474313,13.711816,4
33,Maj7-inv3,-2.036158,14.837877,13.976975,4
34,Min7-fund,1.510359,17.466055,12.008742,4
35,Min7-inv1,-1.433996,16.845535,12.744962,4
36,Min7-inv2,-0.557469,15.773492,14.609760,4
37,Min7-inv3,-1.174735,16.718760,13.403046,4
38,Dom7-fund,1.210086,17.692669,12.877130,4
39,Dom7-inv1,-0.335737,16.075960,14.846789,4
40,Dom7-inv2,-0.803147,17.087227,14.317517,4
41,Dom7-inv3,-0.405511,17.387346,13.595258,4
42,m7b5-fund,0.761842,17.872471,13.229504,4
43,m7b5-inv1,-0.658286,17.387753,13.347668,4
44,m7b5-inv2,-0.610220,16.971275,13.922390,4
45,m7b5-inv3,-0.463144,16.149904,15.154627,4
46,dim7-fund,-0.040830,19.471743,14.334313,4
47,dim7-inv1,-0.249140,19.195356,14.334313,4
48,dim7-inv2,0.287041,19.112139,14.334313,4
49,dim7-inv3,0.259820,19.107632,14.334313,4
50,mM7-fund,1.746161,16.583317,12.599259,4
51,mM7-inv1,-2.583538,14.874933,13.799326,4
52,mM7-inv2,-2.149105,14.886107,14.838151,4
53,mM7-inv3,-2.046840,14.476216,14.536798,4
54,Maj9-fund,1.328233,16.960373,17.474775,5
55,Maj9-inv1,-1.548086,14.977287,21.737332,5
56,Maj9-inv2,-1.793533,15.947903,23.005562,5
57,Maj9-inv3,-1.760184,15.266450,24.965172,5
58,Maj9-inv4,-1.297152,17.085691,21.568556,5
59,Dom9-fund,0.910297,17.445501,18.755529,5
60,Dom9-inv1,0.017388,16.380127,22.582541,5
61,Dom9-inv2,-0.552130,17.008162,23.456662,5
62,Dom9-inv3,-0.698575,16.722235,23.982168,5
63,Dom9-inv4,-0.033088,16.536642,23.379972,5
64,Min9-fund,1.234057,17.090277,18.036340,5
65,Min9-inv1,-1.281371,17.421028,20.123672,5
66,Min9-inv2,-1.554926,15.461847,24.221012,5
67,Min9-inv3,-1.696974,16.148031,24.043848,5
68,Min9-inv4,-1.449999,15.026849,22.619127,5
