index,name,x,y,total_roughness,n_notes
0,Maj-fund,0.019774,2.571065,6.521474,3
1,Maj-inv1,-2.529450,-1.811753,7.051078,3
2,Maj-inv2,-2.907758,1.933063,6.185628,3
3,Min-fund,0.118576,2.228386,6.643995,3
4,Min-inv1,-2.599350,2.415219,6.258775,3
5,Min-inv2,-2.843523,-1.538739,6.843196,3
6,Dim-fund,0.285239,-1.770504,8.011564,3
7,Dim-inv1,0.439076,-0.800421,7.016080,3
8,Dim-inv2,0.742398,-0.657021,6.650094,3
9,Dom7-fund,1.978353,2.530176,12.877130,4
10,Dom7-inv1,0.396193,-3.916505,14.846789,4
11,Dom7-inv2,3.150967,-1.477341,14.317517,4
12,Dom7-inv3,3.749506,0.294374,13.595258,4
